folder,i,j,overlap,threshold
7-scenes-redkitchen,0,1,0.7266717972168624,0.0179996647742589
7-scenes-redkitchen,0,2,0.3725416230860239,0.017999581034180527
7-scenes-redkitchen,0,3,0.4108079709064894,0.017999453633206056
7-scenes-redkitchen,0,4,0.41397916367523413,0.017999347884842556
7-scenes-redkitchen,0,5,0.36792711286674523,0.01799927285976865
7-scenes-redkitchen,0,6,0.3188830639956362,0.017999179809506965
7-scenes-redkitchen,0,10,0.42637002341920377,0.01799869342461236
7-scenes-redkitchen,0,11,0.5244332951178814,0.017998581464201184
7-scenes-redkitchen,0,12,0.5919967960484598,0.017998404843255263
7-scenes-redkitchen,0,13,0.5851172859518307,0.01799831443151931
7-scenes-redkitchen,0,14,0.5792995427794861,0.017998122618928834
7-scenes-redkitchen,0,15,0.449867471522684,0.017997963774557535
7-scenes-redkitchen,0,19,0.29415435628993497,0.017997491360035183
7-scenes-redkitchen,0,26,0.286098240078567,0.01799737564040926
7-scenes-redkitchen,0,27,0.2395031954660557,0.017997138518554463
7-scenes-redkitchen,0,28,0.2695886689696154,0.017996938997902
7-scenes-redkitchen,0,29,0.3373868677905945,0.017996779191842702
7-scenes-redkitchen,0,31,0.4189866324271095,0.01799649780961743
7-scenes-redkitchen,0,32,0.36512138121810467,0.01799634204165191
7-scenes-redkitchen,0,37,0.20274080026066044,0.017995780396441844
7-scenes-redkitchen,0,38,0.2817564054820381,0.01799562301620626
7-scenes-redkitchen,0,39,0.24654866568349132,0.017995486282905968
7-scenes-redkitchen,0,41,0.18305469961019039,0.017999739253677757
7-scenes-redkitchen,1,2,0.5462183433068706,0.01799966447292057
7-scenes-redkitchen,1,3,0.42815676513548157,0.01799953673348917
7-scenes-redkitchen,1,4,0.3106941718917022,0.01799942957558469
7-scenes-redkitchen,1,5,0.23875951705902965,0.017999354978571438
7-scenes-redkitchen,1,10,0.2651486218699333,0.01799877531649089
7-scenes-redkitchen,1,11,0.4253833842242074,0.01799866298880959
7-scenes-redkitchen,1,12,0.5440418182424991,0.017998509325031806
7-scenes-redkitchen,1,13,0.5707114545967936,0.01799839592524869
7-scenes-redkitchen,1,14,0.5274505061672944,0.01799822707590048
7-scenes-redkitchen,1,26,0.29572060659565685,0.01799749231146297
7-scenes-redkitchen,1,27,0.2707540861405567,0.01799724396038438
7-scenes-redkitchen,1,28,0.3778185546275557,0.01799704185042288
7-scenes-redkitchen,1,29,0.3991215616681455,0.0179968839742562
7-scenes-redkitchen,1,31,0.48213032431461944,0.017996591501071184
7-scenes-redkitchen,1,32,0.4308103209805885,0.017996426062960903
7-scenes-redkitchen,1,40,0.2397107536426422,0.017999922473660897
7-scenes-redkitchen,1,41,0.18764053697549654,0.01799982595264371
7-scenes-redkitchen,2,3,0.6023675738516112,0.01799964352231544
7-scenes-redkitchen,2,11,0.2802706108040001,0.01799877089096384
7-scenes-redkitchen,2,12,0.5250767613389847,0.017998613177617695
7-scenes-redkitchen,2,13,0.6008721933466498,0.0179985017231412
7-scenes-redkitchen,2,14,0.44825461539347455,0.017998318435899517
7-scenes-redkitchen,2,26,0.2136719096897544,0.017997658293290072
7-scenes-redkitchen,2,27,0.30343005601657475,0.017997377350134642
7-scenes-redkitchen,2,28,0.4947497991994097,0.017997163156138356
7-scenes-redkitchen,2,29,0.6583850931677019,0.017997011282742843
7-scenes-redkitchen,2,30,0.5463102193551349,0.017996867332043597
7-scenes-redkitchen,2,31,0.5198609380695636,0.017996696067464173
7-scenes-redkitchen,2,40,0.3185606962696746,0.018000043606465132
7-scenes-redkitchen,2,41,0.3901937764787109,0.01799995061607481
7-scenes-redkitchen,2,42,0.36726495395639513,0.017999816601443536
7-scenes-redkitchen,3,4,0.4505815344852343,0.01799966511386289
7-scenes-redkitchen,3,5,0.2740626294160747,0.017999591217669447
7-scenes-redkitchen,3,10,0.28940731399747793,0.01799901111457584
7-scenes-redkitchen,3,11,0.48074660128419056,0.017998901267084654
7-scenes-redkitchen,3,12,0.7535710709875513,0.017998751160594025
7-scenes-redkitchen,3,13,0.8342989510672342,0.01799863480638935
7-scenes-redkitchen,3,14,0.6984878324062237,0.017998450481255108
7-scenes-redkitchen,3,26,0.2346744746093852,0.01799779730529496
7-scenes-redkitchen,3,27,0.3276607873014481,0.01799751068387002
7-scenes-redkitchen,3,28,0.47419304283092917,0.017997296118000806
7-scenes-redkitchen,3,29,0.6072759538598048,0.017997145137591573
7-scenes-redkitchen,3,30,0.48928477140463045,0.01799700048907058
