folder,examples,preprocess_time,fft_time,postprocess_time,baseline_time,RRE,RTE
7-scenes-redkitchen,0 1,0:00:02.439508,0:00:18.075059,0:00:00.006297,0:00:20.520912,4.612683137168311,0.08461284857584546
7-scenes-redkitchen,0 2,0:00:00.082981,0:00:19.211206,0:00:00.005831,0:00:19.311838,3.223202535538535,0.07582991694096962
7-scenes-redkitchen,0 3,0:00:00.077471,0:00:17.819119,0:00:00.005909,0:00:17.911450,3.709785223036123,0.12422373587025014
7-scenes-redkitchen,0 4,0:00:00.087026,0:00:20.889786,0:00:00.005865,0:00:20.995205,3.2749814177348284,0.13064763957875147
7-scenes-redkitchen,0 5,0:00:00.088792,0:00:21.166944,0:00:00.005808,0:00:21.270941,4.473125228110463,0.06309737240746677
7-scenes-redkitchen,0 6,0:00:00.074944,0:00:17.670839,0:00:00.005876,0:00:17.761061,6.697214428420456,0.20884462952791852
7-scenes-redkitchen,0 10,0:00:00.083777,0:00:19.457369,0:00:00.005838,0:00:19.557280,7.172201253654527,0.06835360347545219
7-scenes-redkitchen,0 11,0:00:00.077437,0:00:18.654799,0:00:00.005746,0:00:18.747497,3.4483562214954073,0.03699650057800423
7-scenes-redkitchen,0 12,0:00:00.077880,0:00:16.708297,0:00:00.005800,0:00:16.804995,2.409282502305485,0.048565209814208164
7-scenes-redkitchen,0 13,0:00:00.076451,0:00:14.062388,0:00:00.005746,0:00:14.154321,3.4496031591040066,0.06928289092134081
7-scenes-redkitchen,0 14,0:00:00.066024,0:00:13.557434,0:00:00.005968,0:00:13.643154,6.506709174452626,0.13042321813704238
7-scenes-redkitchen,0 15,0:00:00.072959,0:00:14.480982,0:00:00.005733,0:00:14.569393,3.2014180072827596,0.04318807054078526
7-scenes-redkitchen,0 19,0:00:00.086583,0:00:21.590947,0:00:00.005725,0:00:21.692855,4.409799857481065,0.15617257797867184
7-scenes-redkitchen,0 26,0:00:00.095248,0:00:24.740096,0:00:00.005983,0:00:24.853994,6.602436796094735,0.29169195627487354
7-scenes-redkitchen,0 27,0:00:00.109030,0:00:29.058495,0:00:00.005752,0:00:29.182988,12.472454825856238,0.3503903765074464
7-scenes-redkitchen,0 28,0:00:00.082592,0:00:20.815248,0:00:00.005778,0:00:20.916289,12.11730719501715,0.2879001479098395
