folder,examples,time,RRE,RTE
7-scenes-redkitchen,0 1,0:00:03.322339,0.6536058291774358,0.019564537454342824
7-scenes-redkitchen,0 2,0:00:01.640006,2.0335710784662373,0.05776928358816265
7-scenes-redkitchen,0 3,0:00:01.378087,1.4522374083447827,0.038826783646153315
7-scenes-redkitchen,0 4,0:00:01.242181,1.3813868729530752,0.034265654050014804
7-scenes-redkitchen,0 5,0:00:02.597105,0.990717770976604,0.0342480013544251
7-scenes-redkitchen,0 6,0:00:01.879717,0.965410467634858,0.09061840906912699
7-scenes-redkitchen,0 10,0:00:01.418404,1.087792213181048,0.0312423304441111
7-scenes-redkitchen,0 11,0:00:01.922799,1.7604071768154035,0.039841220275371875
7-scenes-redkitchen,0 12,0:00:01.975149,1.6397640237102808,0.02758424059442531
7-scenes-redkitchen,0 13,0:00:01.690608,1.4012833503093656,0.021807029783126652
7-scenes-redkitchen,0 14,0:00:01.569435,1.8044343808262309,0.03756909452488983
7-scenes-redkitchen,0 15,0:00:01.293847,1.2972130392246188,0.04952908066221074
7-scenes-redkitchen,0 19,0:00:02.213875,1.240825891834175,0.04572564741384276
7-scenes-redkitchen,0 26,0:00:02.541189,2.208208552846057,0.07171073724957336
7-scenes-redkitchen,0 27,0:00:02.725813,1.6740218429002727,0.05508479176813962
7-scenes-redkitchen,0 28,0:00:01.754358,1.9394502300292185,0.05087629933102179
7-scenes-redkitchen,0 29,0:00:01.258583,2.316541469882648,0.04268544653138157
7-scenes-redkitchen,0 39,0:00:02.643242,2.027325145520731,0.14599567061788518
7-scenes-redkitchen,1 2,0:00:01.516124,1.6796653028507016,0.04147841787098309
7-scenes-redkitchen,1 3,0:00:01.363145,1.637911625769815,0.03611393623935406
7-scenes-redkitchen,1 4,0:00:01.227328,1.628602161175573,0.03301357787792075
7-scenes-redkitchen,1 5,0:00:01.883437,1.1998964481864678,0.04684030547167441
7-scenes-redkitchen,1 10,0:00:01.618565,1.2707622162341425,0.016169205521036314
7-scenes-redkitchen,1 11,0:00:02.509129,1.6349095299852792,0.02844508093765219
7-scenes-redkitchen,1 12,0:00:03.354654,2.0098206157511367,0.027750699928373194
7-scenes-redkitchen,1 13,0:00:02.883480,1.723432089048861,0.014831727908801436
7-scenes-redkitchen,1 14,0:00:01.876068,1.7121839071960328,0.021432176362309197
7-scenes-redkitchen,1 26,0:00:05.281847,1.185528350020035,0.014309607091905575
7-scenes-redkitchen,1 27,0:00:09.530420,93.50981287671239,3.6010030253834073
7-scenes-redkitchen,1 28,0:00:02.350754,1.7579204971597033,0.058882477414066166
7-scenes-redkitchen,1 29,0:00:01.906856,2.745398768632002,0.06526502726857573
7-scenes-redkitchen,1 31,0:00:02.878492,1.3072077813319043,0.03293014851067749
7-scenes-redkitchen,1 32,0:00:01.794419,1.6752506989734415,0.023608584648720912
7-scenes-redkitchen,1 40,0:00:03.214509,2.772163034422311,0.11307743898950037
7-scenes-redkitchen,2 3,0:00:03.825905,0.6301304477263273,0.015848659676717565
7-scenes-redkitchen,2 11,0:00:02.391500,1.7388293873632064,0.03653300755896696
